Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,country_rank,video_views_for_the_last_30_days,highest_monthly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,subscribers_for_last_30_days_missing,country_rank_missing,channel_age,views_per_subscriber,views_per_upload,earnings_spread,urban_ratio,subscriber_growth_rate
Daily Dose Of Internet,16.59432989206649,22.6508232851711,Entertainment,Daily Dose Of Internet,6.51025834052315,United States,Entertainment,140.0,19.806492491132882,14.285514812209815,12.611541086966115,88.2,19.609254155938732,14.7,0,0,8,6.058833316396682,16.14205424568653,16.705882371415992,0.8245899991756934,0.01846206283973543
FitDance,16.59432989206649,22.687045474560094,Music,Fitdance Academy,3.7376696182833684,France,Entertainment,3726.0,6.660575149839686,1.3862943611198906,1.6094379124341003,65.6,18.021096628854824,8.43,0,0,17,6.09497236137835,18.973473413468867,3.58351893845611,0.8070899970350383,2.4844717410594243e-07
Panda Shorts,16.59432989206649,22.691180110772088,Entertainment,Panda Shorts,6.504288173536645,Sweden,Sports,2.0,19.986225285431466,14.45736497045232,14.914123179965662,67.0,16.14624122204927,6.48,0,0,3,6.0990976966059165,16.188390157928644,16.888203918950687,0.8770799886013771,0.17086906306216687
Disney Junior,16.59432989206649,23.48403557035184,Entertainment,Disney Junior,8.305484017727691,United States,Entertainment,140.0,19.403249736489293,13.910821646859095,12.611541086966115,88.2,19.609254155938732,14.7,0,0,15,6.890723435722292,15.178798996614185,16.300300617622575,0.8245899991756934,0.01846206283973543
La Rosa de Guadalupe,16.59432989206649,22.989409581779437,Entertainment,larosadeguadalupe,0.0,Mexico,Games,4258.0,17.975720900750336,0.0,12.206077645517674,40.2,18.651903768245116,3.42,1,0,15,6.396748111926566,0.0,0.0,0.814408236023,0.012345835822299337
sagar kalra (Shorts),16.588099342704055,22.601757845403572,People & Blogs,sagar kalra (Shorts),6.118097198041348,Unknown,People,-1.0,18.120413151718285,12.598793556907369,12.206077645517674,68.0,19.609254155938732,9.02,0,1,6,6.0161007067329635,16.485865788995348,15.032735464016598,0.8245899991756934,0.012422519998557154
wifistudy,16.588099342704055,21.827870940773124,Education,wifistudy by Unacademy,10.861783578555313,India,Education,94.0,16.474860660840992,10.9525769086256,12.206077645517674,28.1,21.035458374912988,5.36,1,0,9,5.245059124164001,10.9661238166969,13.373746025580427,0.34471999988372515,0.012422519998557154
Antrax,16.588099342704055,21.831786511363582,Gaming,Antrax,6.5337888379333435,Mexico,Games,23.0,15.362647657057508,9.841665338892785,12.206077645517674,40.2,18.651903768245116,3.42,1,0,8,5.24895408611635,15.299452445553344,12.261512082776054,0.814408236023,0.012422519998557154
Enes Batur,16.588099342704055,23.00427945690264,Gaming,enesbatur,0.0,Unknown,Games,-1.0,17.975720900750336,0.0,2.4849066497880004,68.0,19.609254155938732,9.02,0,1,16,6.417813730930738,0.0,0.0,0.8245899991756934,6.874997636719833e-07
Totoy kids - Espaï¿½ï,16.588099342704055,22.51462507442576,Film & Animation,Totoy kids - Espaï¿½ï,5.84354441703136,Mexico,Film,23.0,18.537512224801816,13.016115801758433,12.206077645517674,40.2,18.651903768245116,3.42,0,0,6,5.92918997613351,16.673983474241908,15.43743044541957,0.814408236023,0.012422519998557154
ýýýýýýýýýý,16.58182973008354,21.335923690905098,People & Blogs,Kung Fu Padla,0.0,Russia,Games,3309.0,17.975720900750336,0.0,2.3978952727983707,81.9,18.78791449892918,4.59,0,0,6,4.76267346168251,0.0,0.0,0.7458700031137978,6.289306198331591e-07
DopeLyrics,16.58182973008354,23.022062571664204,Music,DopeLyrics,7.618742377670413,United States,Music,142.0,16.109559420793314,10.589131655274922,12.206077645517674,88.2,19.609254155938732,14.7,1,0,7,6.441827666977039,15.403811677959501,13.008524802125525,0.8245899991756934,0.01250016276423147
jeffreestar,16.58182973008354,21.682370230749893,Howto & Style,jeffreestar,6.073044534100405,United States,Howto,142.0,14.51165374600838,8.987321812850125,12.206077645517674,88.2,19.609254155938732,14.7,1,0,17,5.106615524952277,15.611632668305326,11.410903813540878,0.8245899991756934,0.01250016276423147
Lyna,16.58182973008354,22.600335104953437,Gaming,Lyna,8.498418036089904,Argentina,Games,12.0,17.975720900750336,12.454107814022272,12.206077645517674,90.0,17.62081018612713,9.79,0,0,9,6.020935785523254,14.102121630785927,14.8828732925418,0.9199100098819032,0.01250016276423147
MK MUSIC,16.58182973008354,22.942359193415847,Music,MK MUSIC,8.53817159780143,Brazil,Music,33.0,18.731014330295906,13.209643218354284,11.51293546492023,51.3,19.17473212136165,12.08,0,0,13,6.362256485273364,14.404384017660636,15.622290158130745,0.8620725611041735,0.006269613013595397
Unspeakable,16.58182973008354,22.92629216862159,Gaming,Unspeakable,6.680854678790215,United States,People,142.0,18.920819471727675,13.399390385736778,12.206077645517674,88.2,19.609254155938732,14.7,0,0,7,6.346217407149026,16.24669307059953,15.817706653068589,0.8245899991756934,0.01250016276423147
Camilo,16.58182973008354,22.640538752470974,Music,Camilo,4.890349128221754,Colombia,Music,8.0,17.908020120937923,12.386730318837426,11.51293546492023,55.3,17.734299502715732,9.71,0,0,13,6.061043773971577,17.75773684914256,14.816253093914325,0.8110400029654679,0.006269613013595397
Dear Sir,16.575520561288332,21.02284345501458,Education,Dear Sir,6.452048954437226,India,Education,95.0,16.995895045220173,11.474195031610165,12.206077645517674,28.1,21.035458374912988,5.36,0,0,7,4.458964799171174,14.572373501265211,13.935780277036862,0.34471999988372515,0.012578782206860118
Narendra Modi,16.575520561288332,21.94495644683719,News & Politics,Narendra Modi,9.936922328622366,India,News,96.0,19.04109055649762,13.519663240445231,13.45883704259595,28.1,21.035458374912988,5.36,0,0,16,5.374081896615748,12.008088569722183,15.936825661074028,0.34471999988372515,0.04335044087361381
Arif muhammad,16.575520561288332,22.13975822993763,People & Blogs,Arif muhammad,6.297109319933935,Indonesia,Comedy,22.0,18.090369503358637,12.568981617474362,11.51293546492023,36.3,19.41468748375534,4.69,0,0,6,5.568062907202796,15.844492359724743,14.973774760227412,0.5607236404348646,0.006309169193264722
Rotten Tomatoes Trailers,16.575520561288332,23.297122605371555,Film & Animation,Rotten Tomatoes Trailers,9.253591413970497,United States,Film,143.0,17.063479095888805,11.542493975902508,11.51293546492023,88.2,19.609254155938732,14.7,0,0,12,6.722805989099426,14.04362775903648,13.931337014100034,0.8245899991756934,0.006309169193264722
Volga Video,16.5691713340128,23.00439211149455,Film & Animation,Volga Video,9.733588515740731,India,Entertainment,97.0,17.75349368454943,12.232232473915767,12.206077645517674,28.1,21.035458374912988,5.36,1,0,11,6.436823610374813,13.270864580666233,14.668265359272256,0.34471999988372515,0.012658396871923468
DM - Desi Melodies,16.5691713340128,22.50060041099139,Music,DM - Desi Melodies,4.382026634673881,India,Music,97.0,18.770224327075727,13.248821563780432,12.611541086966115,28.1,21.035458374912988,5.36,0,0,6,5.934080308408462,18.13115257171325,15.66781637143535,0.34471999988372515,0.018928009885518862
MY FAMILY,16.5691713340128,22.540286149161282,Entertainment,My Family,5.017279836814924,Singapore,People,1203.0,13.7532606160304,8.24301946898925,6.68586094706836,84.8,15.556602852540376,4.11,0,0,4,5.973663024733289,17.529650879278904,10.652566005416872,1.0,5.09541158297297e-05
Team Films Bhojpuri,16.5691713340128,22.61435218233325,Music,Team Films Bhojpuri,9.888576939800373,India,Music,97.0,17.24120544375349,11.719947764402807,12.206077645517674,28.1,21.035458374912988,5.36,1,0,9,6.047547361785541,12.725828968117977,14.157539470484087,0.34471999988372515,0.012658396871923468
Zee Music Classic,16.5691713340128,22.438513397443277,Music,Zee Music Classic,7.403061091090091,India,Music,97.0,18.275076781660953,12.753618744072142,11.51293546492023,28.1,21.035458374912988,5.36,0,0,9,5.872162875926486,15.036062171512517,15.16116545998664,0.34471999988372515,0.006349227678658746
Prime Video India,16.5691713340128,22.88620164960369,Entertainment,Prime Video India,8.866581653303996,United States,Entertainment,144.0,19.629972381174944,14.077875591662238,13.997832948091215,88.2,19.609254155938732,14.7,0,0,7,6.318834048181176,14.019761845220346,16.530205368010318,0.8245899991756934,0.07365290957476542
