Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,country_rank,video_views_for_the_last_30_days,highest_monthly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,subscribers_for_last_30_days_missing,country_rank_missing,channel_age,views_per_subscriber,views_per_upload,earnings_spread,urban_ratio,subscriber_growth_rate
Heidi y Zidane,0.010697318747237006,0.8609168337061676,Entertainment,Heidi y Zidane,0.5071853135574556,United States,People,173.0,0.7256153572763778,0.674218853794627,0.7573396995666664,88.2,0.8515167182046919,14.7,1,0,0.057692307692307696,0.7945378996460668,0.6675047895384922,0.7159771682603258,0.7871914495325427,0.05314015081964872
Go Ami Go!,0.010697318747237006,0.8130221667974681,People & Blogs,Go Ami Go!,0.4386047111262648,Colombia,People,11.0,0.863048493396194,0.8570702056221131,0.8898830838146649,55.3,0.6593647803372147,9.71,0,0,0.13461538461538464,0.6336619125782673,0.6515579361460038,0.875699281395566,0.7707525062637044,0.3796768986541595
Morgz,0.008054912235264666,0.8380913404809938,Gaming,Morgz,0.5323916048913098,United Kingdom,Entertainment,32.0,0.7847019420072261,0.7530355337481599,0.7117436549793702,60.0,0.6884115861487217,3.85,0,0,0.15384615384615385,0.7187824680138194,0.6295954562354167,0.7842001598123928,0.8016649953515966,0.02688469084979311
CaseyNeistat,0.008054912235264666,0.8363000649546966,People & Blogs,CaseyNeistat,0.5552427219935532,United States,People,174.0,0.6801613958485225,0.6135236999427087,0.7117436549793702,88.2,0.8515167182046919,14.7,0,0,0.23076923076923078,0.7127637640238221,0.6157040401766306,0.6631204153884186,0.7871914495325427,0.02688469084979311
ýýýýýýýýýSULGI,0.008054912235264666,0.8401394686017669,People & Blogs,ýýýýýýýýýSULGI,0.5174392842824593,South Korea,People,17.0,0.8145331921129548,0.7928210094085846,0.7840117585933823,94.3,0.6621159315066372,4.15,0,0,0.19230769230769235,0.7256655095425668,0.6396361044908463,0.8190580514176564,0.7747075675040715,0.08002491809428028
NickiMinajAtVEVO,0.008054912235264666,0.8756890100842262,Music,NickiMinajAtVEVO,0.36502930856889426,United States,Music,174.0,0.7610352120105813,0.7214429301124544,0.7573396995666664,88.2,0.8515167182046919,14.7,1,0,0.23076923076923078,0.845297202941315,0.7581219733548024,0.7577932361157813,0.7871914495325427,0.05355859503420512
Ellie Goulding,0.008054912235264666,0.8666347971434902,Music,Ellie Goulding,0.4271653484921131,United Kingdom,Music,32.0,0.7631405563216885,0.7242454436001443,0.7573396995666664,60.0,0.6884115861487217,3.85,1,0,0.2884615384615385,0.8148052504202685,0.7156254745514847,0.7608662276921919,0.8016649953515966,0.05355859503420512
colinfurze,0.005391450471077697,0.8106571062907509,Entertainment,colinfurze,0.47209008768870525,United Kingdom,Entertainment,33.0,0.6963243214551968,0.6350582154203493,0.7573396995666664,60.0,0.6884115861487217,3.85,1,0,0.3076923076923077,0.6277761835659448,0.6314450863635259,0.6819377639324795,0.8016649953515966,0.053983681635535595
People Vs Food,0.005391450471077697,0.7972913054189615,Entertainment,People Vs Food,0.507317092652184,United States,Entertainment,175.0,0.723360753420366,0.6712202014109696,0.7573396995666664,88.2,0.8515167182046919,14.7,1,0,0.17307692307692307,0.5831061756290233,0.5985259180052483,0.7133602819327342,0.7871914495325427,0.053983681635535595
Wolfoo Family,0.005391450471077697,0.722623493282972,Entertainment,Wolfoo Family,0.3271377495510899,United States,Film,175.0,0.901314143472311,0.0,0.7573396995666664,88.2,0.8515167182046919,14.7,1,0,0.057692307692307696,0.3394606279812364,0.6123976816278762,0.0,0.7871914495325427,0.053983681635535595
